UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2023,1,1,Fantastic beasts. The crimes of Grindelwald : the original screenplay / J.K. Rowling ; illustrations and design by Minalima.,"1338263897, 1338325590, 9781338263893, 9781338325591","Rowling, J. K.","Scamander Newt Drama, Wizards Drama, Animals Mythical Drama, Monsters Drama, Magic Drama, Fantasy drama","Arthur A. Levine Books, an imprint of Scholastic Inc.,",2018.
Physical,Horizon,SOUNDDISC,2023,1,2,The ickabog / J.K. Rowling.,"1713586002, 9781713586005","Rowling, J. K.","Monsters Juvenile fiction, Fear Juvenile fiction, Friendship Juvenile fiction, Kings and rulers Juvenile fiction, Quests Expeditions Juvenile fiction, Animals Mythical Juvenile fiction, Imaginary places Juvenile fiction, Kings queens rulers etc Fiction, Fantasy fiction, Childrens audiobooks, Audiobooks, Fantasy fiction","Brilliance Audio,",[2021]
Physical,Horizon,VIDEODISC,2023,1,8,"Harry Potter and the deathly hallows. Part 1 / Warner Bros. Pictures ; a Heyday Films production ; screenplay by Steve Kloves ; produced by David Heyman, David Barron, J.K. Rowling ; directed by David Yates.",0883929558469,,"Potter Harry Fictitious character Drama, Granger Hermione Fictitious character Drama, Weasley Ron Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards Drama, Magic Drama, Good and evil Drama, Boarding schools Drama, England Drama, Action and adventure films, Fantasy films, Fiction films, Feature films, Video recordings for the hearing impaired","[publisher not identified],",[2016]
Physical,Horizon,BOOK,2023,1,1,"Harry Potter : y la orden del Fénix / J.K. Rowling ; [traducción, Gemma Rovira Ortega].","061399678X, 9780613996785","Rowling, J. K.","Potter Harry Fictitious character Juvenile fiction, Wizards Juvenile fiction, Magic Juvenile fiction, Schools Juvenile fiction, England Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Coming of age Fiction, Spanish language materials","Salamandra,",[2017]
Physical,Horizon,BOOK,2023,1,14,Harry Potter and the goblet of fire / by J.K. Rowling ; illustrations by Mary GrandPré.,"0439139597, 9780439139595","Rowling, J. K.","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Juvenile fiction, England Juvenile fiction","Arthur A. Levine Books,",2000.
Physical,Horizon,VIDEODISC,2023,1,7,"Harry Potter and the deathly hallows. Part 2 / Warner Bros. Pictures ; a Heyday Films production ; screenplay by Steve Kloves ; produced by David Heyman, David Barron, J.K. Rowling ; directed by David Yates.",,,"Potter Harry Fictitious character Drama, Granger Hermione Fictitious character Drama, Weasley Ron Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile films, Good and evil Drama, England Drama, Boarding schools Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards Drama, Magic Drama, Action and adventure films, Fantasy films, Fiction films, Feature films, Video recordings for the hearing impaired","[publisher not identified],",[2011]
Physical,Horizon,BOOK,2023,1,18,Harry Potter and the chamber of secrets / by J.K. Rowling ; illustrations by Mary Grandpre.,"0439064864, 0439064872, 9780439064866","Rowling, J. K.","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Juvenile fiction, England Juvenile fiction","Arthur A. Levine Books,",1999.
Physical,Horizon,BOOK,2023,1,1,Harry Potter y el cáliz de fuego / J.K. Rowling ; ilustrado por Jim Kay.,"8498389968, 9788498389968","Rowling, J. K.","Potter Harry Fictitious character Juvenile fiction, Granger Hermione Fictitious character Juvenile fiction, Weasley Ron Fictitious character Juvenile fiction, Wizards Juvenile fiction, Magic Juvenile fiction, Schools Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, England Juvenile fiction, Spanish language materials, Fantasy fiction","Ediciones Salamandra,",2020.
Physical,Horizon,SOUNDDISC,2023,1,1,Harry Potter and the Order of the Phoenix / J.K. Rowling.,"0807220299, 0807220310, 9780807220290, 9780807220313","Rowling, J. K.","Potter Harry Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Juvenile fiction, Boarding schools Juvenile fiction, England Juvenile fiction","Listening Library,",[2003]
Physical,Horizon,BOOK,2023,1,11,Harry Potter and the Order of the Phoenix / by J.K. Rowling ; illustrations by Mary Grandpré.,"043935806X, 9780439358064","Rowling, J. K.","Potter Harry Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Boarding schools Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Fantasy, England Juvenile fiction","Scholastic,",2003.
Physical,Horizon,BOOK,2023,1,1,Fantastic beasts and where to find them / Newt Scamander ; J.K. Rowling ; illustrated by Olivia Lomenech Gill.,"1338216791, 9781338216790","Rowling, J. K.","Rowling J K Characters Animals Mythical Juvenile fiction, Rowling J K Characters Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Fiction, Monsters Fiction, Fantasy fiction","Arthur A. Levine Books, an imprint of Scholastic Inc.,",[2017]
